MapSizeX	MapSizeY
65	65
/NAME	IDX	IDY	FRAMEX	FRAMEY	TYPE
Tile_Desert	0	0	0	0	5
Tile_Desert	1	0	0	0	5
Tile_Desert	2	0	0	0	5
Tile_Desert	3	0	0	0	5
Tile_Desert	4	0	0	0	5
Tile_Desert	5	0	0	0	5
Tile_Desert	6	0	0	0	5
Tile_Desert	7	0	0	0	5
Tile_Desert	8	0	0	0	5
Tile_Desert	9	0	0	0	5
Tile_Desert	10	0	0	0	5
Tile_Desert	11	0	0	0	5
Tile_Desert	12	0	0	0	5
Tile_Desert	13	0	0	0	5
Tile_Desert	14	0	0	0	5
Tile_Desert	15	0	0	0	5
Tile_Desert	16	0	0	0	5
Tile_Desert	17	0	0	0	5
Tile_Desert	18	0	0	0	5
Tile_Desert	19	0	0	0	5
Tile_Desert	20	0	0	0	5
Tile_Desert	21	0	0	0	5
Enterance	22	0	0	0	9
Enterance	23	0	0	0	9
Tile_Desert	24	0	0	0	5
Tile_Desert	25	0	0	0	5
Tile_Desert	26	0	0	0	5
Tile_Desert	27	0	0	0	5
Tile_Desert	28	0	0	0	5
Tile_Desert	29	0	0	0	5
Tile_Desert	30	0	0	0	5
Tile_Desert	31	0	0	0	5
Tile_Desert	32	0	0	0	5
Tile_Desert	33	0	0	0	5
Tile_Desert	34	0	0	0	5
Tile_Desert	35	0	0	0	5
Tile_Desert	36	0	0	0	5
Tile_Desert	37	0	0	0	5
Tile_Desert	38	0	0	0	5
Tile_Desert	39	0	0	0	5
Tile_Desert	40	0	0	0	5
Tile_Desert	41	0	0	0	5
Tile_Desert	42	0	0	0	5
Tile_Desert	43	0	0	0	5
Tile_Desert	44	0	0	0	5
Tile_Desert	45	0	0	0	5
Tile_Desert	46	0	0	0	5
Tile_Desert	47	0	0	0	5
Tile_Desert	48	0	0	0	5
Tile_Desert	49	0	0	0	5
Tile_Desert	50	0	0	0	5
Tile_Desert	51	0	0	0	5
Tile_Desert	52	0	0	0	5
Tile_Desert	53	0	0	0	5
Tile_Desert	54	0	0	0	5
Tile_Desert	55	0	0	0	5
Tile_Desert	56	0	0	0	5
Tile_Desert	57	0	0	0	5
Tile_Desert	58	0	0	0	5
Tile_Desert	59	0	0	0	5
Tile_Desert	60	0	0	0	5
Tile_Desert	61	0	0	0	5
Tile_Desert	62	0	0	0	5
Tile_Desert	63	0	0	0	5
Tile_Desert	64	0	0	0	5
Tile_Desert	0	1	0	0	5
Tile_Desert	1	1	0	0	5
Tile_Desert	2	1	0	0	5
Tile_Desert	3	1	0	0	5
Tile_Desert	4	1	0	0	5
Tile_Desert	5	1	0	0	5
Tile_Desert	6	1	0	0	5
Tile_Desert	7	1	0	0	5
Tile_Desert	8	1	0	0	5
Tile_Desert	9	1	0	0	5
Tile_Desert	10	1	0	0	5
Tile_Desert	11	1	0	0	5
Tile_Desert	12	1	0	0	5
Tile_Desert	13	1	0	0	5
Tile_Desert	14	1	0	0	5
Tile_Desert	15	1	0	0	5
Tile_Desert	16	1	0	0	5
Tile_Desert	17	1	0	0	5
Tile_Desert	18	1	0	0	5
Tile_Desert	19	1	0	0	5
Tile_Desert	20	1	0	0	5
Tile_Desert	21	1	0	0	5
Enterance	22	1	0	0	9
Enterance	23	1	0	0	9
Tile_Desert	24	1	0	0	5
Tile_Desert	25	1	0	0	5
Tile_Desert	26	1	0	0	5
Tile_Desert	27	1	0	0	5
Tile_Desert	28	1	0	0	5
Tile_Desert	29	1	0	0	5
Tile_Desert	30	1	0	0	5
Tile_Desert	31	1	0	0	5
Tile_Desert	32	1	0	0	5
Tile_Desert	33	1	0	0	5
Tile_Desert	34	1	0	0	5
Tile_Desert	35	1	0	0	5
Tile_Desert	36	1	0	0	5
Tile_Desert	37	1	0	0	5
Tile_Desert	38	1	0	0	5
Tile_Desert	39	1	0	0	5
Tile_Desert	40	1	0	0	5
Tile_Desert	41	1	0	0	5
Tile_Desert	42	1	0	0	5
Tile_Desert	43	1	0	0	5
Tile_Desert	44	1	0	0	5
Tile_Desert	45	1	0	0	5
Tile_Desert	46	1	0	0	5
Tile_Desert	47	1	0	0	5
Tile_Desert	48	1	0	0	5
Tile_Desert	49	1	0	0	5
Tile_Desert	50	1	0	0	5
Tile_Desert	51	1	0	0	5
Tile_Desert	52	1	0	0	5
Tile_Desert	53	1	0	0	5
Tile_Desert	54	1	0	0	5
Tile_Desert	55	1	0	0	5
Tile_Desert	56	1	0	0	5
Tile_Desert	57	1	0	0	5
Tile_Desert	58	1	0	0	5
Tile_Desert	59	1	0	0	5
Tile_Desert	60	1	0	0	5
Tile_Desert	61	1	0	0	5
Tile_Desert	62	1	0	0	5
Tile_Desert	63	1	0	0	5
Tile_Desert	64	1	0	0	5
Tile_Desert	0	2	0	0	5
Tile_Desert	1	2	0	0	5
Tile_Desert	2	2	0	0	5
Tile_Desert	3	2	0	0	5
Tile_Desert	4	2	0	0	5
