MapSizeX	MapSizeY
30	30
/
NAME	IDX	IDY	FRAMEX	FRAMEY	TYPE
Tile_Spring	8	3	0	0	1
Tile_Spring	9	3	0	0	1
Tile_Spring	5	4	0	0	1
Tile_Spring	7	4	0	0	1
Tile_Spring	9	4	0	0	1
Tile_Spring	10	4	0	0	1
Tile_Spring	5	5	0	0	1
Tile_Spring	7	5	0	0	1
Tile_Spring	10	5	0	0	1
Tile_Spring	5	6	0	0	1
Tile_Spring	7	6	0	0	1
Tile_Spring	10	6	0	0	1
Tile_Spring	4	7	0	0	1
Tile_Spring	7	7	0	0	1
Tile_Spring	10	7	0	0	1
Tile_Spring	4	8	0	0	1
Tile_Spring	7	8	0	0	1
Tile_Spring	9	8	0	0	1
Tile_Spring	10	8	0	0	1
Tile_Spring	4	9	0	0	1
Tile_Spring	7	9	0	0	1
Tile_Spring	9	9	0	0	1
Tile_Spring	4	10	0	0	1
Tile_Spring	5	10	0	0	1
Tile_Spring	7	10	0	0	1
Tile_Spring	9	10	0	0	1
Tile_Spring	5	11	0	0	1
Tile_Spring	6	11	0	0	1
Tile_Spring	7	11	0	0	1
Tile_Spring	9	11	0	0	1
Tile_Spring	6	12	0	0	1
Tile_Spring	7	12	0	0	1
Tile_Spring	8	12	0	0	1
Tile_Spring	9	12	0	0	1
/
